subject_id,gold
0,0
1,1
2,2
3,0
4,1
5,2
6,0
7,1
8,2
9,0
10,1
11,2
12,0
13,1
14,2
15,0
16,1
17,2
18,0
19,1
20,2
21,0
22,1
23,2
24,0
25,1
26,2
27,0
28,1
29,2
30,0
31,1
32,2
33,0
34,1
35,2
36,0
37,1
38,2
39,0
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,0
49,1
50,2
51,0
52,1
53,2
54,0
55,1
56,2
57,0
58,1
59,2
60,0
61,1
62,2
63,0
64,1
65,2
66,0
67,1
68,2
69,0
70,1
71,2
72,0
73,1
74,2
75,0
76,1
77,2
78,0
79,1
80,2
81,0
82,1
83,2
84,0
85,1
86,2
87,0
88,1
89,2
90,0
91,1
92,2
93,0
94,1
95,2
96,0
97,1
98,2
99,0
