classification_id,user_id,user_name,workflow_id,annotations,metadata,subject_ids
0,0,0,0,"[{""value"": ""3""}]","{""seen_before"": false}",0
1,1,1,0,"[{""value"": ""5""}]","{""seen_before"": false}",1
2,2,2,0,"[{""value"": ""2""}]","{""seen_before"": false}",2
3,3,3,0,"[{""value"": ""5""}]","{""seen_before"": false}",3
4,4,4,0,"[{""value"": ""5""}]","{""seen_before"": false}",4
5,5,5,0,"[{""value"": ""5""}]","{""seen_before"": false}",5
6,6,6,0,"[{""value"": ""1""}]","{""seen_before"": false}",6
7,0,0,0,"[{""value"": ""2""}]","{""seen_before"": false}",7
8,1,1,0,"[{""value"": ""3""}]","{""seen_before"": false}",8
9,2,2,0,"[{""value"": ""5""}]","{""seen_before"": false}",9
10,3,3,0,"[{""value"": ""1""}]","{""seen_before"": false}",10
11,4,4,0,"[{""value"": ""2""}]","{""seen_before"": false}",11
12,5,5,0,"[{""value"": ""3""}]","{""seen_before"": false}",12
13,6,6,0,"[{""value"": ""3""}]","{""seen_before"": false}",13
14,0,0,0,"[{""value"": ""2""}]","{""seen_before"": false}",14
15,1,1,0,"[{""value"": ""2""}]","{""seen_before"": false}",15
16,2,2,0,"[{""value"": ""1""}]","{""seen_before"": false}",16
17,3,3,0,"[{""value"": ""2""}]","{""seen_before"": false}",17
18,4,4,0,"[{""value"": ""3""}]","{""seen_before"": false}",18
19,5,5,0,"[{""value"": ""5""}]","{""seen_before"": false}",19
20,6,6,0,"[{""value"": ""3""}]","{""seen_before"": false}",20
21,0,0,0,"[{""value"": ""1""}]","{""seen_before"": false}",21
22,1,1,0,"[{""value"": ""2""}]","{""seen_before"": false}",22
23,2,2,0,"[{""value"": ""3""}]","{""seen_before"": false}",23
24,3,3,0,"[{""value"": ""5""}]","{""seen_before"": false}",24
25,4,4,0,"[{""value"": ""5""}]","{""seen_before"": false}",25
26,5,5,0,"[{""value"": ""1""}]","{""seen_before"": false}",26
27,6,6,0,"[{""value"": ""2""}]","{""seen_before"": false}",27
28,0,0,0,"[{""value"": ""3""}]","{""seen_before"": false}",28
29,1,1,0,"[{""value"": ""5""}]","{""seen_before"": false}",29
30,2,2,0,"[{""value"": ""0""}]","{""seen_before"": false}",30
31,3,3,0,"[{""value"": ""1""}]","{""seen_before"": false}",31
32,4,4,0,"[{""value"": ""2""}]","{""seen_before"": false}",32
33,5,5,0,"[{""value"": ""3""}]","{""seen_before"": false}",33
34,6,6,0,"[{""value"": ""2""}]","{""seen_before"": false}",34
35,0,0,0,"[{""value"": ""0""}]","{""seen_before"": false}",35
36,1,1,0,"[{""value"": ""1""}]","{""seen_before"": false}",36
37,2,2,0,"[{""value"": ""2""}]","{""seen_before"": false}",37
38,3,3,0,"[{""value"": ""3""}]","{""seen_before"": false}",38
39,4,4,0,"[{""value"": ""5""}]","{""seen_before"": false}",39
40,5,5,0,"[{""value"": ""0""}]","{""seen_before"": false}",40
41,6,6,0,"[{""value"": ""1""}]","{""seen_before"": false}",41
42,0,0,0,"[{""value"": ""2""}]","{""seen_before"": false}",42
43,1,1,0,"[{""value"": ""3""}]","{""seen_before"": false}",43
44,2,2,0,"[{""value"": ""5""}]","{""seen_before"": false}",44
45,3,3,0,"[{""value"": ""0""}]","{""seen_before"": false}",45
46,4,4,0,"[{""value"": ""1""}]","{""seen_before"": false}",46
47,5,5,0,"[{""value"": ""0""}]","{""seen_before"": false}",47
