classification_id,user_id,user_name,workflow_id,annotations,metadata,subject_ids
0,0,0,0,"[{""value"": ""0""}]","{""seen_before"": false}",0
1,1,1,0,"[{""value"": ""3""}]","{""seen_before"": false}",1
2,2,2,0,"[{""value"": ""0""}]","{""seen_before"": false}",2
3,3,3,0,"[{""value"": ""2""}]","{""seen_before"": false}",3
4,4,4,0,"[{""value"": ""0""}]","{""seen_before"": false}",4
5,5,5,0,"[{""value"": ""1""}]","{""seen_before"": false}",5
6,6,6,0,"[{""value"": ""2""}]","{""seen_before"": false}",6
7,7,7,0,"[{""value"": ""3""}]","{""seen_before"": false}",7
8,8,8,0,"[{""value"": ""0""}]","{""seen_before"": false}",8
9,9,9,0,"[{""value"": ""2""}]","{""seen_before"": false}",9
10,10,10,0,"[{""value"": ""0""}]","{""seen_before"": false}",10
11,11,11,0,"[{""value"": ""2""}]","{""seen_before"": false}",11
12,12,12,0,"[{""value"": ""3""}]","{""seen_before"": false}",12
13,13,13,0,"[{""value"": ""1""}]","{""seen_before"": false}",13
14,14,14,0,"[{""value"": ""2""}]","{""seen_before"": false}",14
15,15,15,0,"[{""value"": ""1""}]","{""seen_before"": false}",15
16,16,16,0,"[{""value"": ""0""}]","{""seen_before"": false}",16
17,17,17,0,"[{""value"": ""0""}]","{""seen_before"": false}",17
18,18,18,0,"[{""value"": ""2""}]","{""seen_before"": false}",18
19,19,19,0,"[{""value"": ""3""}]","{""seen_before"": false}",19
20,20,20,0,"[{""value"": ""0""}]","{""seen_before"": false}",20
21,0,0,0,"[{""value"": ""1""}]","{""seen_before"": false}",21
22,1,1,0,"[{""value"": ""2""}]","{""seen_before"": false}",22
23,2,2,0,"[{""value"": ""2""}]","{""seen_before"": false}",23
24,3,3,0,"[{""value"": ""0""}]","{""seen_before"": false}",24
25,4,4,0,"[{""value"": ""1""}]","{""seen_before"": false}",25
26,5,5,0,"[{""value"": ""2""}]","{""seen_before"": false}",26
27,6,6,0,"[{""value"": ""3""}]","{""seen_before"": false}",27
28,7,7,0,"[{""value"": ""1""}]","{""seen_before"": false}",28
29,8,8,0,"[{""value"": ""3""}]","{""seen_before"": false}",29
30,9,9,0,"[{""value"": ""2""}]","{""seen_before"": false}",30
31,10,10,0,"[{""value"": ""0""}]","{""seen_before"": false}",31
32,11,11,0,"[{""value"": ""0""}]","{""seen_before"": false}",32
33,12,12,0,"[{""value"": ""1""}]","{""seen_before"": false}",33
34,13,13,0,"[{""value"": ""0""}]","{""seen_before"": false}",34
35,14,14,0,"[{""value"": ""2""}]","{""seen_before"": false}",35
36,15,15,0,"[{""value"": ""0""}]","{""seen_before"": false}",36
37,16,16,0,"[{""value"": ""0""}]","{""seen_before"": false}",37
38,17,17,0,"[{""value"": ""2""}]","{""seen_before"": false}",38
39,18,18,0,"[{""value"": ""3""}]","{""seen_before"": false}",39
40,19,19,0,"[{""value"": ""0""}]","{""seen_before"": false}",40
41,20,20,0,"[{""value"": ""1""}]","{""seen_before"": false}",41
42,0,0,0,"[{""value"": ""2""}]","{""seen_before"": false}",42
43,1,1,0,"[{""value"": ""3""}]","{""seen_before"": false}",43
44,2,2,0,"[{""value"": ""0""}]","{""seen_before"": false}",44
45,3,3,0,"[{""value"": ""1""}]","{""seen_before"": false}",45
46,4,4,0,"[{""value"": ""2""}]","{""seen_before"": false}",46
47,5,5,0,"[{""value"": ""3""}]","{""seen_before"": false}",47
48,6,6,0,"[{""value"": ""0""}]","{""seen_before"": false}",48
49,7,7,0,"[{""value"": ""0""}]","{""seen_before"": false}",49
50,8,8,0,"[{""value"": ""2""}]","{""seen_before"": false}",50
51,9,9,0,"[{""value"": ""3""}]","{""seen_before"": false}",51
52,10,10,0,"[{""value"": ""0""}]","{""seen_before"": false}",52
53,11,11,0,"[{""value"": ""0""}]","{""seen_before"": false}",53
54,12,12,0,"[{""value"": ""2""}]","{""seen_before"": false}",54
55,13,13,0,"[{""value"": ""0""}]","{""seen_before"": false}",55
56,14,14,0,"[{""value"": ""0""}]","{""seen_before"": false}",56
57,15,15,0,"[{""value"": ""1""}]","{""seen_before"": false}",57
58,16,16,0,"[{""value"": ""3""}]","{""seen_before"": false}",58
59,17,17,0,"[{""value"": ""3""}]","{""seen_before"": false}",59
60,18,18,0,"[{""value"": ""3""}]","{""seen_before"": false}",60
61,19,19,0,"[{""value"": ""1""}]","{""seen_before"": false}",61
62,20,20,0,"[{""value"": ""2""}]","{""seen_before"": false}",62
63,0,0,0,"[{""value"": ""3""}]","{""seen_before"": false}",63
64,1,1,0,"[{""value"": ""0""}]","{""seen_before"": false}",64
65,2,2,0,"[{""value"": ""1""}]","{""seen_before"": false}",65
66,3,3,0,"[{""value"": ""2""}]","{""seen_before"": false}",66
