classification_id,user_id,user_name,workflow_id,annotations,metadata,subject_ids
0,0,0,0,"[{""value"": ""0""}]","{""seen_before"": false}",0
1,1,1,0,"[{""value"": ""2""}]","{""seen_before"": false}",1
2,2,2,0,"[{""value"": ""2""}]","{""seen_before"": false}",2
3,3,3,0,"[{""value"": ""1""}]","{""seen_before"": false}",3
4,4,4,0,"[{""value"": ""1""}]","{""seen_before"": false}",4
5,0,0,0,"[{""value"": ""2""}]","{""seen_before"": false}",5
6,1,1,0,"[{""value"": ""0""}]","{""seen_before"": false}",6
7,2,2,0,"[{""value"": ""2""}]","{""seen_before"": false}",7
8,3,3,0,"[{""value"": ""0""}]","{""seen_before"": false}",8
9,4,4,0,"[{""value"": ""0""}]","{""seen_before"": false}",9
10,0,0,0,"[{""value"": ""1""}]","{""seen_before"": false}",10
11,1,1,0,"[{""value"": ""1""}]","{""seen_before"": false}",11
12,2,2,0,"[{""value"": ""2""}]","{""seen_before"": false}",12
13,3,3,0,"[{""value"": ""1""}]","{""seen_before"": false}",13
14,4,4,0,"[{""value"": ""1""}]","{""seen_before"": false}",14
15,0,0,0,"[{""value"": ""0""}]","{""seen_before"": false}",15
16,1,1,0,"[{""value"": ""0""}]","{""seen_before"": false}",16
17,2,2,0,"[{""value"": ""1""}]","{""seen_before"": false}",17
18,3,3,0,"[{""value"": ""2""}]","{""seen_before"": false}",18
19,4,4,0,"[{""value"": ""0""}]","{""seen_before"": false}",19
20,0,0,0,"[{""value"": ""0""}]","{""seen_before"": false}",20
21,1,1,0,"[{""value"": ""0""}]","{""seen_before"": false}",21
22,2,2,0,"[{""value"": ""0""}]","{""seen_before"": false}",22
23,3,3,0,"[{""value"": ""0""}]","{""seen_before"": false}",23
24,4,4,0,"[{""value"": ""1""}]","{""seen_before"": false}",24
25,0,0,0,"[{""value"": ""0""}]","{""seen_before"": false}",25
26,1,1,0,"[{""value"": ""0""}]","{""seen_before"": false}",26
27,2,2,0,"[{""value"": ""2""}]","{""seen_before"": false}",27
28,3,3,0,"[{""value"": ""1""}]","{""seen_before"": false}",28
29,4,4,0,"[{""value"": ""0""}]","{""seen_before"": false}",29
30,0,0,0,"[{""value"": ""0""}]","{""seen_before"": false}",30
31,1,1,0,"[{""value"": ""2""}]","{""seen_before"": false}",31
32,2,2,0,"[{""value"": ""1""}]","{""seen_before"": false}",32
33,3,3,0,"[{""value"": ""0""}]","{""seen_before"": false}",33
34,4,4,0,"[{""value"": ""1""}]","{""seen_before"": false}",34
35,0,0,0,"[{""value"": ""0""}]","{""seen_before"": false}",35
36,1,1,0,"[{""value"": ""0""}]","{""seen_before"": false}",36
37,2,2,0,"[{""value"": ""1""}]","{""seen_before"": false}",37
38,3,3,0,"[{""value"": ""2""}]","{""seen_before"": false}",38
39,4,4,0,"[{""value"": ""0""}]","{""seen_before"": false}",39
40,0,0,0,"[{""value"": ""1""}]","{""seen_before"": false}",40
41,1,1,0,"[{""value"": ""0""}]","{""seen_before"": false}",41
