subject_id,gold
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
0,1
1,0
2,0
3,0
4,0
5,2
6,1
7,0
8,2
9,1
10,2
11,2
12,2
13,1
14,0
15,1
16,2
17,0
18,2
19,1
20,2
21,2
22,2
23,0
24,2
25,2
26,0
27,0
28,1
29,1
30,0
31,0
32,2
33,2
34,1
35,2
36,1
37,1
38,2
39,1
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,0
56,0
57,0
58,0
59,2
60,0
61,1
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,2
70,1
71,0
72,2
73,1
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,2
82,2
83,1
84,0
85,0
86,2
87,1
88,0
89,2
90,0
91,2
92,1
93,0
94,1
95,2
96,0
97,2
98,1
99,2
